Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Tue, 08 Aug 2023 00:15:11 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1976-0176-SWE,1976,0176,,Natural,Meteorological,Storm,,,Capella,Sweden,SWE,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1976,1,2,1976,1,4,,,,,,,,,,,,19.4455440893725,,,,
1977-0068-SWE,1977,0068,,Natural,Hydrological,Flood,,,,Sweden,SWE,Northern Europe,Europe,,,,,,,,,,Km2,,,,,1977,5,,1977,5,,,,,,,,,,,170000,820866,20.7098324994209,,,,
1977-0139-SWE,1977,0139,,Natural,Hydrological,Landslide,,,,Sweden,SWE,Northern Europe,Europe,Goteborg,,,,,No,No,,,,,,,,1977,11,30,1977,11,30,13,50,,,50,,,,,11000,53115,20.7098324994209,,,,
1985-0272-SWE,1985,0272,,Natural,Hydrological,Flood,Riverine flood,,,Sweden,SWE,Northern Europe,Europe,"Bollnas, Avesta, Mora",,,,,,,,,Km2,,,,,1985,9,13,1985,9,13,11,,,,,,,,,5800,15780,36.7554679439105,,,,
1990-0717-SWE,1990,0717,,Natural,Meteorological,Storm,,,Daria,Sweden,SWE,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,1,25,1990,1,26,,,,,,,,,,5000,11199,44.6458774383636,,,,
1990-0722-SWE,1990,0722,,Natural,Meteorological,Storm,,,Vivian,Sweden,SWE,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2,25,1990,2,27,,,,,,,,,,5000,11199,44.6458774383636,,,,
1999-0590-SWE,1999,0590,,Natural,Meteorological,Storm,Extra-tropical storm,,Anatol,Sweden,SWE,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1999,12,4,1999,12,5,3,,,,,,,120000,210827,160000,281103,56.9185870408555,,,,
2002-0682-SWE,2002,0682,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Sweden,SWE,Northern Europe,Europe,"Blekinge Laen, Dalarnas Laen, Gaevleborgs Laen, Gotlands Laen, Hallands Laen, Jaemtlands Laen, Joenkoepings Laen, Kalmar Laen, Kronobergs Laen, Norrbottens Laen, Oerebro Laen, Oestergoetlands Laen, Skaane Laen, Soedermanlands Laen, Stockholms Laen, Uppsala Laen, Vaermlands Laen, Vaesterbottens Laen, Vaesternorrlands Laen, Vaestmanlands Laen, Vaestra Goetalands Laen provinces",,,,,,,,,Kph,,,,,2002,10,27,2002,10,27,1,,,,,,,,,,,61.4631882611914,1,2786;2787;2788;2789;2790;2791;2792;2793;2794;2795;2796;2797;2798;2799;2800;2801;2802;2803;2804;2805;2806,,"Blekinge Laen, Dalarnas Laen, Gaevleborgs Laen, Gotlands Laen, Hallands Laen, Jaemtlands Laen, Joenkoepings Laen, Kalmar Laen, Kronobergs Laen, Norrbottens Laen, Oerebro Laen, Oestergoetlands Laen, Skaane Laen, Soedermanlands Laen, Stockholms Laen, Uppsala Laen, Vaermlands Laen, Vaesterbottens Laen, Vaesternorrlands Laen, Vaestmanlands Laen, Vaestra Goetalands Laen (Adm1). "
2005-0011-SWE,2005,0011,,Natural,Meteorological,Storm,Extra-tropical storm,,Erwin,Sweden,SWE,Northern Europe,Europe,"Blekinge Laen, Dalarnas Laen, Gaevleborgs Laen, Gotlands Laen, Hallands Laen, Jaemtlands Laen, Joenkoepings Laen, Kalmar Laen, Kronobergs Laen, Norrbottens Laen, Oerebro Laen, Oestergoetlands Laen, Skaane Laen, Soedermanlands Laen, Stockholms Laen, Uppsala Laen, Vaermlands Laen, Vaesterbottens Laen, Vaesternorrlands Laen, Vaestmanlands Laen, Vaestra Goetalands Laen provinces",,,,,,,,,Kph,,,,,2005,1,7,2005,1,9,7,,,,,,,650000,974059,2800000,4195947,66.7310579862028,1,2786;2787;2788;2789;2790;2791;2792;2793;2794;2795;2796;2797;2798;2799;2800;2801;2802;2803;2804;2805;2806,,"Blekinge Laen, Dalarnas Laen, Gaevleborgs Laen, Gotlands Laen, Hallands Laen, Jaemtlands Laen, Joenkoepings Laen, Kalmar Laen, Kronobergs Laen, Norrbottens Laen, Oerebro Laen, Oestergoetlands Laen, Skaane Laen, Soedermanlands Laen, Stockholms Laen, Uppsala Laen, Vaermlands Laen, Vaesterbottens Laen, Vaesternorrlands Laen, Vaestmanlands Laen, Vaestra Goetalands Laen (Adm1). "
